Date,ndvi,evi,savi,ndvi_smooth,evi_smooth,savi_smooth,ndvi_normalized,evi_normalized,savi_normalized,field_id,Temperature_C,cycle_id,growth_stage
2019-06-02,0.13030374332981626,0.08659968399086175,0.08718779649710781,0.1439962275732797,0.09935121816293145,0.09715643522402324,0.05696275168577432,0.050842010710791904,0.04922347986406958,Field_1,36.88071428571429,Field_1_2019,Vegetative
2019-06-09,0.1307383940844301,0.0871155028591874,0.0888751904004794,0.12419547317185155,0.08563911484137249,0.08441493265351381,0.030072015450004444,0.029286263321204802,0.02638849406666988,Field_1,38.03857142857142,Field_1_2019,Vegetative
2019-06-16,0.1115442821013083,0.0832021576740683,0.0771818110629542,0.12216374196997704,0.08765616109676044,0.0856894357331402,0.02731278987990947,0.032457107248984665,0.028672624965750102,Field_1,37.85642857142857,Field_1_2019,Vegetative
2019-06-23,0.12420854972419271,0.09265082275702566,0.09101130573598701,0.1264518075578634,0.09546182926087642,0.09028406809379291,0.03313626702364984,0.04472780031531262,0.036907004240814126,Field_1,34.16214285714286,Field_1_2019,Vegetative
2019-06-30,0.14360259084808918,0.1105325073515353,0.10265908748243754,0.14360259084808918,0.1105325073515353,0.10265908748243756,0.05642816693535455,0.06841925904296563,0.05908518851841209,Field_1,36.35928571428571,Field_1_2019,Vegetative
2019-07-07,0.16299663197198566,0.12841419194604495,0.1143068692288881,0.1795783907864622,0.1402654555565386,0.12671741296976535,0.10528568657328505,0.11516014959963487,0.10220188670783012,Field_1,36.868571428571435,Field_1_2019,Vegetative
2019-07-14,0.2321359495393118,0.18184966737203556,0.16318628219797046,0.23213594953931183,0.18184966737203556,0.16318628219797046,0.17666233318816957,0.18053150396221446,0.16756043498460488,Field_1,34.61142857142857,Field_1_2019,Vegetative
2019-07-21,0.30127526710663793,0.23528514279802615,0.21206569516705284,0.30127526710663793,0.23528514279802615,0.21206569516705284,0.27055810678000797,0.2645333221307044,0.2551608333487363,Field_1,30.457857142857144,Field_1_2019,Vegetative
2019-07-28,0.37041458467396404,0.28872061822401673,0.2609451081361352,0.3704145846739641,0.28872061822401673,0.2609451081361352,0.3644538803718465,0.34853514029919425,0.3427612317128677,Field_1,31.55642857142857,Field_1_2019,Vegetative
2019-08-04,0.4395539022412902,0.3421560936500073,0.3098245211052176,0.4395539022412902,0.34215609365000726,0.3098245211052176,0.45834965396368493,0.4325369584676841,0.4303616300769991,Field_1,30.189285714285713,Field_1_2019,Vegetative
2019-08-11,0.5086932198086164,0.3955915690759979,0.35870393407429996,0.5086932198086164,0.3955915690759979,0.35870393407429996,0.5522454275555234,0.5165387766361741,0.5179620284411305,Field_1,30.349285714285713,Field_1_2019,Vegetative
2019-08-18,0.5778325373759425,0.4490270445019886,0.40758334704338234,0.5778325373759424,0.44902704450198855,0.40758334704338234,0.6461412011473618,0.600540594804664,0.605562426805262,Field_1,29.31,Field_1_2019,Vegetative
2019-08-25,0.6469718549432686,0.5024625199279792,0.4564627600124647,0.6154095762965872,0.5002183332917628,0.43659360242097606,0.6971733094019562,0.6810144990498896,0.6575538435051688,Field_1,28.513571428571428,Field_1_2019,Vegetative
2019-09-01,0.6214243365705504,0.5491654354453204,0.4457347002070811,0.6214243365705504,0.5491654354453203,0.4457347002070811,0.7053417523193061,0.7579604893718502,0.6739362785408511,Field_1,29.96642857142857,Field_1_2019,Peak
2019-09-08,0.5958768181978321,0.5958683509626614,0.4350066404016975,0.5958768181978321,0.5958683509626614,0.4350066404016975,0.6706465298994118,0.8313785657705465,0.6547097319123091,Field_1,29.73071428571429,Field_1_2019,Senescence
2019-09-15,0.5703292998251139,0.6425712664800026,0.4242785805963139,0.5470138376077877,0.5877345010993583,0.4012741061354506,0.6042873651877048,0.8185919633911344,0.5942551711870391,Field_1,29.830714285714286,Field_1_2019,Senescence
2019-09-22,0.47483539480041703,0.524763885855411,0.3445370974083405,0.4748353948004171,0.524763885855411,0.34453709740834054,0.5062642581841852,0.7196006822336143,0.49257259636504136,Field_1,28.509999999999998,Field_1_2019,Senescence
2019-09-29,0.3793414897757202,0.4069565052308194,0.2647956142203671,0.38140075033288695,0.40273062857012754,0.27095817280013795,0.3793738211471969,0.527761545269542,0.3607063828538454,Field_1,27.583571428571428,Field_1_2019,Senescence
2019-10-06,0.2900253664225236,0.2764714946241522,0.2035418067717061,0.2900253664225236,0.2764714946241522,0.2035418067717061,0.2552799963685528,0.3292792312770261,0.2398845447501789,Field_1,24.43,Field_1_2019,Senescence
2019-10-13,0.200709243069327,0.145986484017485,0.1422879993230451,0.20325467263477873,0.16357965613674377,0.13985142941991857,0.13743964582752966,0.15181061864233247,0.12574032555696749,Field_1,24.983571428571427,Field_1_2019,Senescence
2019-10-20,0.11902940841248569,0.06828098976859405,0.07372448216500455,0.15273910443009342,0.10775926038372165,0.10105759261084331,0.0688361576546619,0.06405964989437199,0.05621503152985521,Field_1,24.917857142857144,Field_1_2019,Senescence
2019-10-27,0.1384786618084676,0.1090103073650859,0.0871602963444803,0.1381044753884132,0.09338638673411086,0.08432894230569465,0.04896136190244672,0.04146515608200776,0.026234384426908185,Field_1,23.720714285714283,Field_1_2019,Senescence
2019-11-03,0.15680535594428632,0.10286786306865257,0.0921020484075991,0.15680535594428632,0.10286786306865259,0.0921020484075991,0.0743583965916074,0.05637025881897381,0.04016514074520104,Field_1,24.06,Field_1_2019,Senescence
2019-11-10,0.17513205008010505,0.09672541877221924,0.0970438004707179,0.17344589346849681,0.10262149269232929,0.09967244924820551,0.09695734895034684,0.05598295882044238,0.0537326140254704,Field_1,21.61285714285714,Field_1_2019,Senescence
2019-11-17,0.18840027438109902,0.10827119623611607,0.10987149886629954,0.188400274381099,0.10827119623611607,0.10987149886629954,0.11726638892616777,0.06486442503755058,0.07201108250965016,Field_1,19.650714285714287,Field_1_2019,Senescence
2019-11-24,0.201668498682093,0.1198169737000129,0.1226991972618812,0.22406316848281072,0.13656540608052578,0.13535107604429594,0.16569896170855397,0.1093435852138847,0.11767491059927826,Field_1,19.435000000000002,Field_1_2019,Senescence
2020-06-07,0.1770132054356646,0.10592288364482517,0.11177445716126132,0.1770132054356646,0.10592288364482512,0.11177445716126132,0.10180199492872911,0.06117282267556521,0.0754215143168902,Field_1,29.962142857142858,Field_1_2020,Vegetative
